City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,38,PF,2021-07-20 23:03:29,75,-9.8,-139.0333,77.4,26.11
1,Hvide Sande,72,DK,2021-07-20 23:03:29,78,56.0045,8.1294,60.01,21.0
2,Ushuaia,75,AR,2021-07-20 22:58:50,64,-54.8,-68.3,33.46,12.66
3,Nikolskoye,91,RU,2021-07-20 22:58:54,96,59.7035,30.7861,59.02,5.73
4,Sharjah,83,AE,2021-07-20 23:03:30,51,25.3573,55.4033,97.25,13.15
5,Lorengau,100,PG,2021-07-20 23:03:30,75,-2.0226,147.2712,81.95,2.15
6,Aswan,51,EG,2021-07-20 23:03:31,15,24.0934,32.907,95.63,13.82
7,Westport,1,US,2021-07-20 23:03:31,77,41.1415,-73.3579,85.01,1.99
8,Ribeira Grande,22,PT,2021-07-20 23:03:31,87,38.5167,-28.7,68.72,14.25
9,Hilo,87,US,2021-07-20 23:02:03,83,19.7297,-155.09,79.25,1.99
10,Busselton,100,AU,2021-07-20 23:03:32,92,-33.65,115.3333,52.09,11.45
11,Bolshaya Martynovka,42,RU,2021-07-20 23:03:32,45,47.271,41.6679,83.48,8.77
12,Albany,45,US,2021-07-20 23:03:33,79,42.6001,-73.9662,82.33,6.49
13,Sioux Lookout,40,CA,2021-07-20 22:59:46,33,50.1001,-91.917,71.67,2.3
14,Kodiak,100,US,2021-07-20 23:03:33,93,57.79,-152.4072,54.75,8.05
15,Luderitz,0,NA,2021-07-20 23:03:34,64,-26.6481,15.1594,52.54,22.91
16,Puerto Ayora,90,EC,2021-07-20 23:03:34,97,-0.7393,-90.3518,71.55,7.0
17,Coquimbo,9,CL,2021-07-20 23:03:09,81,-29.9533,-71.3436,54.79,2.24
18,Cape Town,83,ZA,2021-07-20 23:03:31,89,-33.9258,18.4232,48.88,1.01
19,Kaitangata,87,NZ,2021-07-20 23:03:35,78,-46.2817,169.8464,39.92,4.5
20,Praya,75,CV,2021-07-20 23:03:35,78,14.9215,-23.5087,77.54,8.05
21,Yellowknife,77,CA,2021-07-20 23:03:36,49,62.456,-114.3525,74.28,8.01
22,Yanam,100,IN,2021-07-20 23:03:36,87,16.7333,82.2167,78.37,10.0
